time,count_av_user,count_auto_rh_user,count_rh_user,count_car_user,count_pt_user,count_personal_micromobility_user,count_walker,count_cyclist,count_carsharing_user,mean_sedentary_behaviour_plot,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0.28103197,,,,,,,,,,,,,
1,0,0,6,148,26,1,61,5,3,0.6299208,,,,,,,,,,,,,
2,0,0,6,148,26,1,61,5,3,0.97881013,,,,,,,,,,,,,
3,0,0,6,148,26,1,61,5,3,1.3276988,,,,,,,,,,,,,
4,0,0,6,148,26,1,61,5,3,1.6765876,,,,,,,,,,,,,
5,0,0,6,148,26,1,61,5,3,2.0254762,,,,,,,,,,,,,
6,0,0,6,148,26,1,61,5,3,2.3743653,,,,,,,,,,,,,
7,0,0,6,148,26,1,61,5,3,2.7232533,,,,,,,,,,,,,
8,0,0,6,148,26,1,61,5,3,3.0721421,,,,,,,,,,,,,
9,0,0,6,148,26,1,61,5,3,3.4210308,,,,,,,,,,,,,
10,0,0,6,148,26,1,61,5,3,3.7699196,,,,,,,,,,,,,
11,0,0,6,148,26,1,61,5,3,4.118809,,,,,,,,,,,,,
12,0,0,6,148,26,1,61,5,3,4.467698,,,,,,,,,,,,,
13,0,0,6,148,26,1,61,5,3,4.816587,,,,,,,,,,,,,
14,0,0,6,148,26,1,61,5,3,5.165474,,,,,,,,,,,,,
15,0,0,6,148,26,1,61,5,3,5.514364,,,,,,,,,,,,,
16,0,0,6,148,26,1,61,5,3,5.8632526,,,,,,,,,,,,,
17,0,0,6,148,26,1,61,5,3,6.21214,,,,,,,,,,,,,
18,0,0,6,148,26,1,61,5,3,6.561029,,,,,,,,,,,,,
19,0,0,6,148,26,1,61,5,3,6.9099183,,,,,,,,,,,,,
20,0,0,6,148,26,1,61,5,3,7.258808,,,,,,,,,,,,,
21,0,0,6,148,26,1,61,5,3,7.607697,,,,,,,,,,,,,
22,0,0,6,148,26,1,61,5,3,7.956586,,,,,,,,,,,,,
23,0,0,6,148,26,1,61,5,3,8.305474,,,,,,,,,,,,,
24,0,0,6,148,26,1,61,5,3,8.654364,,,,,,,,,,,,,
25,0,0,6,148,26,1,61,5,3,9.003251,,,,,,,,,,,,,
26,0,0,6,148,26,1,61,5,3,9.352142,,,,,,,,,,,,,
27,0,0,6,148,26,1,61,5,3,9.701032,,,,,,,,,,,,,
28,0,0,6,148,26,1,61,5,3,10.049921,,,,,,,,,,,,,
29,0,0,6,148,26,1,61,5,3,10.39881,,,,,,,,,,,,,
30,0,0,6,148,26,1,61,5,3,10.747699,,,,,,,,,,,,,
31,0,0,6,148,26,1,61,5,3,11.096588,,,,,,,,,,,,,
32,0,0,6,148,26,1,61,5,3,11.445478,,,,,,,,,,,,,
33,0,0,6,148,26,1,61,5,3,11.794366,,,,,,,,,,,,,
34,0,0,6,148,26,1,61,5,3,12.143255,,,,,,,,,,,,,
35,0,0,6,148,26,1,61,5,3,12.492146,,,,,,,,,,,,,
36,0,0,6,148,26,1,61,5,3,12.841036,,,,,,,,,,,,,
37,0,0,6,148,26,1,61,5,3,13.189923,,,,,,,,,,,,,
38,0,0,6,148,26,1,61,5,3,13.538812,,,,,,,,,,,,,
39,0,0,6,148,26,1,61,5,3,13.887701,,,,,,,,,,,,,
40,0,0,6,148,26,1,61,5,3,14.236588,,,,,,,,,,,,,
41,0,0,6,148,26,1,61,5,3,14.585476,,,,,,,,,,,,,
42,0,0,6,148,26,1,61,5,3,14.934367,,,,,,,,,,,,,
43,0,0,6,148,26,1,61,5,3,15.283257,,,,,,,,,,,,,
44,0,0,6,148,26,1,61,5,3,15.632145,,,,,,,,,,,,,
45,0,0,6,148,26,1,61,5,3,15.981034,,,,,,,,,,,,,
46,0,0,6,148,26,1,61,5,3,16.329924,,,,,,,,,,,,,
47,0,0,6,148,26,1,61,5,3,16.67881,,,,,,,,,,,,,
48,0,0,6,148,26,1,61,5,3,17.027699,,,,,,,,,,,,,
49,0,0,6,148,26,1,61,5,3,17.376587,,,,,,,,,,,,,
50,0,0,6,148,26,1,61,5,3,17.725477,,,,,,,,,,,,,
51,0,0,6,148,26,1,61,5,3,18.074366,,,,,,,,,,,,,
52,0,0,6,148,26,1,61,5,3,18.423252,,,,,,,,,,,,,
53,0,0,6,148,26,1,61,5,3,18.77214,,,,,,,,,,,,,
54,0,0,6,148,26,1,61,5,3,19.12103,,,,,,,,,,,,,
55,0,0,6,148,26,1,61,5,3,19.469915,,,,,,,,,,,,,
56,0,0,6,148,26,1,61,5,3,19.818806,,,,,,,,,,,,,
57,0,0,6,148,26,1,61,5,3,20.167696,,,,,,,,,,,,,
58,0,0,6,148,26,1,61,5,3,20.516584,,,,,,,,,,,,,
59,0,0,6,148,26,1,61,5,3,20.865473,,,,,,,,,,,,,
60,0,0,6,148,26,1,61,5,3,21.214361,,,,,,,,,,,,,
61,0,0,6,148,26,1,61,5,3,21.563251,,,,,,,,,,,,,
62,0,0,6,148,26,1,61,5,3,21.91214,,,,,,,,,,,,,
63,0,0,6,148,26,1,61,5,3,22.261026,,,,,,,,,,,,,
64,0,0,6,148,26,1,61,5,3,22.609913,,,,,,,,,,,,,
65,0,0,6,148,26,1,61,5,3,22.958807,,,,,,,,,,,,,
66,0,0,6,148,26,1,61,5,3,23.307693,,,,,,,,,,,,,
67,0,0,6,148,26,1,61,5,3,23.656582,,,,,,,,,,,,,
68,0,0,6,148,26,1,61,5,3,24.00547,,,,,,,,,,,,,
69,0,0,6,148,26,1,61,5,3,24.35436,,,,,,,,,,,,,
70,0,0,6,148,26,1,61,5,3,24.703249,,,,,,,,,,,,,
71,0,0,6,148,26,1,61,5,3,25.052137,,,,,,,,,,,,,
72,0,0,6,148,26,1,61,5,3,25.401024,,,,,,,,,,,,,
73,0,0,6,148,26,1,61,5,3,25.749912,,,,,,,,,,,,,
74,0,0,6,148,26,1,61,5,3,26.098804,,,,,,,,,,,,,
75,0,0,6,148,26,1,61,5,3,26.447693,,,,,,,,,,,,,
76,0,0,6,148,26,1,61,5,3,26.79658,,,,,,,,,,,,,
77,0,0,6,148,26,1,61,5,3,27.14547,,,,,,,,,,,,,
78,0,0,6,148,26,1,61,5,3,27.494358,,,,,,,,,,,,,
79,0,0,6,148,26,1,61,5,3,27.843246,,,,,,,,,,,,,
80,0,0,6,148,26,1,61,5,3,28.192137,,Percentages,count_av_user,count_auto_rh_user,count_rh_user,count_car_user,count_pt_user,count_personal_micromobility_user,count_walker,count_cyclist,count_carsharing_user,,Total
81,2,16,6,141,23,1,55,4,2,28.56325,,,2,16,6,141,23,1,55,4,2,,250
82,2,16,6,141,23,1,55,4,2,28.934357,,,0.8,6.4,2.4,56.4,9.2,0.4,22,1.6,0.8,,
83,2,16,6,141,23,1,55,4,2,29.305466,,,,,,,,,,,,,
