time,count_av_user,count_auto_rh_user,count_rh_user,count_car_user,count_pt_user,count_personal_micromobility_user,count_walker,count_cyclist,count_carsharing_user,mean_sedentary_behaviour_plot,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0.28103197,,,,,,,,,,,,,
1,0,0,0,147,36,1,58,4,4,0.6165875,,Percentages,count_av_user,count_auto_rh_user,count_rh_user,count_car_user,count_pt_user,count_personal_micromobility_user,count_walker,count_cyclist,count_carsharing_user,,Total
2,0,0,0,147,36,1,58,4,4,0.95214355,,,0,0,0,147,36,1,58,4,4,,250
3,0,0,0,147,36,1,58,4,4,1.2876989,,,0,0,0,58.8,14.4,0.4,23.2,1.6,1.6,,
4,0,0,0,147,36,1,58,4,4,1.623254,,,,,,,,,,,,,
5,0,0,0,147,36,1,58,4,4,1.9588097,,,,,,,,,,,,,
6,0,0,0,147,36,1,58,4,4,2.2943652,,,,,,,,,,,,,
7,0,0,0,147,36,1,58,4,4,2.62992,,,,,,,,,,,,,
8,0,0,0,147,36,1,58,4,4,2.9654758,,,,,,,,,,,,,
9,0,0,0,147,36,1,58,4,4,3.3010314,,,,,,,,,,,,,
10,0,0,0,147,36,1,58,4,4,3.6365867,,,,,,,,,,,,,
11,0,0,0,147,36,1,58,4,4,3.9721422,,,,,,,,,,,,,
12,0,0,0,147,36,1,58,4,4,4.307698,,,,,,,,,,,,,
13,0,0,0,147,36,1,58,4,4,4.643253,,,,,,,,,,,,,
14,0,0,0,147,36,1,58,4,4,4.9788094,,,,,,,,,,,,,
15,0,0,0,147,36,1,58,4,4,5.314364,,,,,,,,,,,,,
16,0,0,0,147,36,1,58,4,4,5.6499195,,,,,,,,,,,,,
17,0,0,0,147,36,1,58,4,4,5.985475,,,,,,,,,,,,,
18,0,0,0,147,36,1,58,4,4,6.3210306,,,,,,,,,,,,,
19,0,0,0,147,36,1,58,4,4,6.6565857,,,,,,,,,,,,,
20,0,0,0,147,36,1,58,4,4,6.9921412,,,,,,,,,,,,,
21,0,0,0,147,36,1,58,4,4,7.327698,,,,,,,,,,,,,
22,0,0,0,147,36,1,58,4,4,7.6632524,,,,,,,,,,,,,
23,0,0,0,147,36,1,58,4,4,7.9988084,,,,,,,,,,,,,
24,0,0,0,147,36,1,58,4,4,8.334364,,,,,,,,,,,,,
25,0,0,0,147,36,1,58,4,4,8.66992,,,,,,,,,,,,,
26,0,0,0,147,36,1,58,4,4,9.005475,,,,,,,,,,,,,
27,0,0,0,147,36,1,58,4,4,9.341032,,,,,,,,,,,,,
28,0,0,0,147,36,1,58,4,4,9.676589,,,,,,,,,,,,,
29,0,0,0,147,36,1,58,4,4,10.012144,,,,,,,,,,,,,
30,0,0,0,147,36,1,58,4,4,10.3477,,,,,,,,,,,,,
31,0,0,0,147,36,1,58,4,4,10.683255,,,,,,,,,,,,,
32,0,0,0,147,36,1,58,4,4,11.018809,,,,,,,,,,,,,
33,0,0,0,147,36,1,58,4,4,11.354366,,,,,,,,,,,,,
34,0,0,0,147,36,1,58,4,4,11.689923,,,,,,,,,,,,,
35,0,0,0,147,36,1,58,4,4,12.025478,,,,,,,,,,,,,
36,0,0,0,147,36,1,58,4,4,12.361034,,,,,,,,,,,,,
37,0,0,0,147,36,1,58,4,4,12.696589,,,,,,,,,,,,,
38,0,0,0,147,36,1,58,4,4,13.032147,,,,,,,,,,,,,
39,0,0,0,147,36,1,58,4,4,13.367701,,,,,,,,,,,,,
40,0,0,0,147,36,1,58,4,4,13.703257,,,,,,,,,,,,,
41,0,0,0,147,36,1,58,4,4,14.038812,,,,,,,,,,,,,
42,0,0,0,147,36,1,58,4,4,14.374365,,,,,,,,,,,,,
43,0,0,0,147,36,1,58,4,4,14.709921,,,,,,,,,,,,,
44,0,0,0,147,36,1,58,4,4,15.045479,,,,,,,,,,,,,
45,0,0,0,147,36,1,58,4,4,15.381034,,,,,,,,,,,,,
46,0,0,0,147,36,1,58,4,4,15.71659,,,,,,,,,,,,,
47,0,0,0,147,36,1,58,4,4,16.052145,,,,,,,,,,,,,
48,0,0,0,147,36,1,58,4,4,16.387701,,,,,,,,,,,,,
49,0,0,0,147,36,1,58,4,4,16.723253,,,,,,,,,,,,,
50,0,0,0,147,36,1,58,4,4,17.05881,,,,,,,,,,,,,
51,0,0,0,147,36,1,58,4,4,17.394365,,,,,,,,,,,,,
52,0,0,0,147,36,1,58,4,4,17.729921,,,,,,,,,,,,,
53,0,0,0,147,36,1,58,4,4,18.065475,,,,,,,,,,,,,
54,0,0,0,147,36,1,58,4,4,18.40103,,,,,,,,,,,,,
55,0,0,0,147,36,1,58,4,4,18.736586,,,,,,,,,,,,,
56,0,0,0,147,36,1,58,4,4,19.07214,,,,,,,,,,,,,
57,0,0,0,147,36,1,58,4,4,19.407694,,,,,,,,,,,,,
58,0,0,0,147,36,1,58,4,4,19.743248,,,,,,,,,,,,,
59,0,0,0,147,36,1,58,4,4,20.078806,,,,,,,,,,,,,
60,0,0,0,147,36,1,58,4,4,20.414364,,,,,,,,,,,,,
61,0,0,0,147,36,1,58,4,4,20.749918,,,,,,,,,,,,,
62,0,0,0,147,36,1,58,4,4,21.085474,,,,,,,,,,,,,
63,0,0,0,147,36,1,58,4,4,21.421028,,,,,,,,,,,,,
64,0,0,0,147,36,1,58,4,4,21.756582,,,,,,,,,,,,,
65,0,0,0,147,36,1,58,4,4,22.092134,,,,,,,,,,,,,
66,0,0,0,147,36,1,58,4,4,22.427689,,,,,,,,,,,,,
67,0,0,0,147,36,1,58,4,4,22.763247,,,,,,,,,,,,,
68,0,0,0,147,36,1,58,4,4,23.098804,,,,,,,,,,,,,
69,0,0,0,147,36,1,58,4,4,23.434357,,,,,,,,,,,,,
70,0,0,0,147,36,1,58,4,4,23.769913,,,,,,,,,,,,,
71,0,0,0,147,36,1,58,4,4,24.105469,,,,,,,,,,,,,
72,0,0,0,147,36,1,58,4,4,24.441025,,,,,,,,,,,,,
73,0,0,0,147,36,1,58,4,4,24.776583,,,,,,,,,,,,,
74,0,0,0,147,36,1,58,4,4,25.112137,,,,,,,,,,,,,
75,0,0,0,147,36,1,58,4,4,25.447691,,,,,,,,,,,,,
76,0,0,0,147,36,1,58,4,4,25.783245,,,,,,,,,,,,,
77,0,0,0,147,36,1,58,4,4,26.118803,,,,,,,,,,,,,
78,0,0,0,147,36,1,58,4,4,26.45436,,,,,,,,,,,,,
79,0,0,0,147,36,1,58,4,4,26.789915,,,,,,,,,,,,,
80,0,0,0,147,36,1,58,4,4,27.12547,,,,,,,,,,,,,
81,6,17,0,133,33,1,52,4,4,27.481024,,Percentages,count_av_user,count_auto_rh_user,count_rh_user,count_car_user,count_pt_user,count_personal_micromobility_user,count_walker,count_cyclist,count_carsharing_user,,Total
82,6,17,0,133,33,1,52,4,4,27.83658,,,6,17,0,133,33,1,52,4,4,,250
